GENUS$,SPECIES$,FAMILY$,WSG,SEEDMASS,HEIGHT,LMA,RGR95SAP,RGR90SAP,RGRAVGSAP,N_RGRSAP,MRT25SAP,MRT50SAP,MRTALLSAP,N_MRTALLSAP,RGR95TRE,RGR90TRE,RGRAVGTRE,N_RGRTRE,MRT25TRE,MRT50TRE,MRTALLTRE,N_MRTALLTRE
Cupania,seemannii,Sapindaceae,0.665,0.120431,13.0,54.8,0.118,0.093,0.033,3798,17.2,15.2,11.0,3021,0.038,0.032,0.0061,161,3.4,3.4,2.5,119
Dendropanax,arboreus,Araliaceae,0.411,0.006140,24.5,65.5,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.034,0.028,0.0099,411,24.4,19.1,12.7,347
Desmopsis,panamensis,Annonaceae,0.536,0.108017,10.9,57.2,0.102,0.079,0.029,46091,18.6,16.8,13.2,36989,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Drypetes,standleyi,Euphorbiacea,0.618,0.067596,28.7,80.1,0.098,0.076,0.027,7060,14.3,12.6,9.5,5773,0.041,0.034,0.0146,1211,10.3,6.3,4.2,930
Erythrina,costaricensi,Fabaceae:Pap,0.500,-99.000000,9.4,19.4,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.021,0.016,0.0009,142,16.1,19.4,20.0,125
Erythroxylum,macrophyllum,Erythroxylac,0.643,-99.000000,12.9,90.4,0.111,0.083,0.028,938,36.6,34.1,27.0,788,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Erythroxylum,panamense,Erythroxylac,0.703,0.015756,7.6,45.8,0.094,0.074,0.025,441,17.1,17.1,13.4,352,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Eugenia,coloradoensi,Myrtaceae,0.693,0.085297,21.9,84.8,0.111,0.088,0.028,2451,26.2,24.2,17.5,2063,0.051,0.042,0.0186,348,26.5,17.5,16.0,275
Eugenia,galalonensis,Myrtaceae,0.636,0.088920,16.1,63.8,0.104,0.078,0.027,5533,12.8,11.5,9.6,4181,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Eugenia,nesiotica,Myrtaceae,0.732,0.340890,21.1,53.9,0.097,0.068,0.020,1880,15.5,15.1,12.7,1526,0.043,0.032,0.0105,238,12.8,9.5,5.8,191
Eugenia,oerstediana,Myrtaceae,0.656,-99.000000,16.7,54.4,0.129,0.096,0.033,6830,29.4,27.6,19.4,5719,0.063,0.05,0.0211,670,43.4,31.8,19.5,518
Faramea,occidentalis,Rubiaceae,0.609,0.193216,15.7,63.7,0.122,0.098,0.040,82728,13.3,10.4,7.2,66503,0.027,0.022,0.0081,6896,27.4,21.3,14.2,5337
Ficus,tonduzii,Moraceae,0.357,-99.000000,11.2,76.3,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.03,0.022,0.0029,113,25.0,28.6,24.0,100
Garcinia,intermedia,Clusiaceae,0.654,0.541000,15.9,102.2,0.097,0.074,0.029,17020,9.4,8.6,7.0,13486,0.031,0.026,0.0103,392,17.8,15.1,10.2,294
Garcinia,madruno,Clusiaceae,0.649,-99.000000,16.4,105.1,0.11,0.089,0.035,1804,22.0,17.2,22.0,1490,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Guapira,standleyana,Nyctaginacea,0.511,0.061173,32.2,38.0,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.057,0.042,0.0144,406,3.7,4.3,3.0,328
Guarea,bullata,Meliaceae,0.668,-99.000000,17.2,76.1,0.097,0.072,0.024,4288,29.6,27.6,22.1,3720,0.023,0.017,0.0060,335,37.1,30.8,19.8,288
Guarea,guidonia,Meliaceae,0.560,-99.000000,20.2,56.2,0.119,0.091,0.033,5222,22.1,20.5,15.1,4274,0.035,0.025,0.0077,1705,15.5,10.8,6.4,1371
Guatteria,dumetorum,Annonaceae,0.446,0.040030,34.6,49.9,0.157,0.116,0.042,2978,33.3,30.3,21.9,2599,0.054,0.042,0.0151,1027,35.3,24.7,16.5,861
Guazuma,ulmifolia,Sterculiacea,0.495,0.001297,23.1,37.8,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.101,0.077,0.0270,130,8.3,6.1,4.0,100
Guettarda,foliacea,Rubiaceae,0.618,-99.000000,10.6,38.5,0.119,0.092,0.034,863,20.7,19.1,12.9,744,0.033,0.022,0.0046,353,8.3,12.3,10.5,294
Gustavia,superba,Lecythidacea,0.612,5.661719,20.6,44.7,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.021,0.016,0.0059,3089,6.4,4.7,3.0,2494
Hasseltia,floribunda,Flacourtiace,0.565,0.011230,15.0,47.3,0.128,0.099,0.038,1454,32.4,31.1,25.2,1328,0.042,0.031,0.0117,1008,32.1,23.6,15.8,840
Heisteria,concinna,Olacaceae,0.719,0.179125,17.9,101.1,0.125,0.104,0.047,2356,7.7,5.9,4.7,1921,0.031,0.025,0.0101,1284,12.2,8.7,5.8,1018
Herrania,purpurea,Sterculiacea,0.308,0.184663,8.4,37.0,0.112,0.082,0.029,2073,12.5,11.0,11.1,1673,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Hieronyma,alchorneoide,Euphorbiacea,0.585,0.000960,34.3,35.2,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.064,0.039,0.0178,165,12.1,6.0,3.0,135
Hirtella,triandra,Chrysobalana,0.606,0.188107,22.7,50.9,0.124,0.097,0.036,15074,17.4,14.2,10.0,12256,0.037,0.03,0.0120,2879,13.2,9.2,5.7,2212
Hura,crepitans,Euphorbiacea,-99.000,-99.000000,35.0,27.6,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.047,0.033,0.0123,432,5.8,4.1,2.9,345
Hybanthus,prunifolius,Violaceae,0.580,0.019299,6.5,43.2,0.1,0.075,0.024,152207,21.7,21.0,17.2,126446,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Inga,acuminata,Fabaceae:Mim,0.321,-99.000000,13.3,47.7,0.169,0.14,0.062,1016,23.4,15.2,9.6,790,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Inga,goldmanii,Fabaceae:Mim,0.557,0.499075,22.8,51.9,0.118,0.094,0.036,1192,27.1,25.0,17.7,1009,0.066,0.051,0.0184,180,48.7,46.2,31.6,158
Inga,marginata,Fabaceae:Mim,0.486,-99.000000,24.3,52.2,0.223,0.163,0.063,1405,64.2,60.0,45.1,1285,0.132,0.105,0.0524,321,60.7,47.2,29.6,247
Inga,nobilis,Fabaceae:Mim,0.645,0.172580,15.2,60.9,0.132,0.101,0.038,2202,20.7,17.5,12.0,1879,0.041,0.03,0.0113,232,31.0,22.6,15.3,170
Inga,sapindoides,Fabaceae:Mim,0.612,0.406354,20.7,51.3,0.163,0.12,0.044,645,37.3,31.6,22.7,572,0.058,0.049,0.0173,296,40.7,29.4,17.6,239
Inga,umbellifera,Fabaceae:Mim,0.665,-99.000000,12.7,56.7,0.118,0.09,0.033,3193,19.1,18.0,13.3,2685,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Jacaranda,copaia,Bignoniaceae,0.374,0.002070,31.8,48.1,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.088,0.069,0.0288,1066,18.2,10.7,6.9,860
Lacistema,aggregatum,Flacourtiace,0.558,0.011052,16.3,51.1,0.11,0.081,0.028,5851,27.5,25.1,19.9,4848,0.027,0.023,0.0080,150,37.1,32.3,19.2,125
Lacmellea,panamensis,Apocynaceae,0.502,0.227051,21.8,52.6,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.055,0.047,0.0190,207,7.7,5.1,3.2,158
Laetia,thamnia,Flacourtiace,0.727,0.004359,14.5,65.0,0.133,0.106,0.040,1566,28.1,24.1,18.9,1312,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Licania,hypoleuca,Chrysobalana,0.836,0.084700,17.8,60.9,0.109,0.072,0.024,415,12.5,10.9,8.1,332,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Licania,platypus,Chrysobalana,0.682,4.502960,19.2,70.1,0.101,0.076,0.027,1103,21.5,20.0,15.1,900,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Lindackeria,laurina,Flacourtiace,0.693,0.037742,17.3,66.8,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.031,0.02,0.0031,293,20.0,14.9,10.7,244
Lonchocarpus,heptaphyllus,Fabaceae:Pap,0.666,0.045275,30.6,42.2,0.131,0.096,0.035,2235,28.8,26.2,19.5,1857,0.041,0.03,0.0108,553,26.1,21.2,14.9,463
Luehea,seemannii,Tiliaceae,0.572,0.001115,32.4,58.5,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.058,0.044,0.0142,343,15.9,10.1,6.1,277
Maquira,guianensis,Moraceae,0.643,-99.000000,15.3,57.2,0.125,0.099,0.039,4320,10.0,8.6,6.4,3486,0.023,0.016,0.0036,770,26.1,23.3,17.9,637
Miconia,affinis,Melastomatac,0.570,-99.000000,8.7,46.2,0.204,0.163,0.064,1195,41.5,36.7,27.3,987,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Miconia,argentea,Melastomatac,0.697,-99.000000,20.2,56.5,0.267,0.228,0.096,1314,79.4,71.6,55.8,1165,0.067,0.059,0.0266,223,50.0,40.5,30.6,170
Mosannona,garwoodii,Annonaceae,0.730,0.216420,13.2,67.7,0.107,0.083,0.033,1294,6.6,6.1,4.8,979,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Mouriri,myrtilloides,Melastomatac,0.788,0.042875,8.6,76.2,0.097,0.073,0.024,29556,22.6,20.9,17.8,24178,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Nectandra,cissiflora,Lauraceae,0.421,-99.000000,19.5,71.1,0.176,0.151,0.059,743,38.2,36.3,28.2,663,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Ocotea,cernua,Lauraceae,0.610,0.041760,14.4,61.7,0.142,0.105,0.040,802,44.5,42.1,33.9,696,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Ocotea,puberula,Lauraceae,0.389,0.034480,26.8,49.4,0.175,0.145,0.054,504,46.8,48.9,39.0,459,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Ocotea,whitei,Lauraceae,0.426,-99.000000,32.3,68.3,0.169,0.127,0.055,1431,52.8,46.4,34.5,1342,0.082,0.063,0.0247,659,20.2,15.5,10.6,518
Ouratea,lucens,Ochnaceae,0.802,0.097000,11.6,103.5,0.078,0.06,0.018,5182,18.0,13.6,11.3,4165,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Palicourea,guianensis,Rubiaceae,0.320,0.007087,6.2,42.4,0.274,0.236,0.114,1344,87.5,88.0,83.6,1150,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Pentagonia,macrophylla,Rubiaceae,0.454,0.004479,6.1,65.2,0.098,0.065,0.019,1593,29.9,26.7,22.1,1371,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Perebea,xanthochyma,Moraceae,0.623,0.091272,14.1,53.7,0.129,0.099,0.037,846,17.9,15.0,10.5,695,-99.0,-99.0,-99.0000,-99.0,-99.0,-99.0,-99.0,-99.0
Picramnia,latifolia,Simaroubacea,0.699,0.025705,12.5,58.7,0.104,0.08,0.026,3884,25.5,23.3,17.9,3200,0.038,0.03,0.0104,174,31.4,28.2,16.8,143
Platymiscium,pinnatum,Fabaceae:Pap,0.761,0.145200,29.7,33.4,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.035,0.025,0.0077,249,20.4,15.2,10.9,211
Platypodium,elegans,Fabaceae:Pap,0.703,0.334896,35.1,36.1,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.045,0.035,0.0087,174,19.4,15.7,14.1,142
Poulsenia,armata,Moraceae,0.315,0.008913,36.2,55.8,0.185,0.143,0.061,2422,39.9,30.5,23.1,2247,0.047,0.036,0.0118,3033,40.1,32.3,22.3,2536
Pouteria,reticulata,Sapotaceae,0.761,-99.000000,32.0,50.7,0.104,0.079,0.025,5126,28.1,26.4,21.3,4365,0.063,0.052,0.0231,793,12.9,8.7,5.1,622
Pouteria,stipitata,Sapotaceae,-99.000,0.777521,22.4,58.6,-99,-99,-99.000,-99,-99.0,-99.0,-99.0,-99.0,0.041,0.027,0.0111,143,7.1,5.3,4.3,115
Prioria,copaifera,Fabaceae:Cae,0.391,22.869184,35.5,77.8,0.105,0.079,0.028,3837,8.8,8.0,5.6,3167,0.054,0.042,0.0180,1554,9.6,5.8,3.1,1216
Protium,costaricense,Burseraceae,0.452,-99.000000,16.4,45.9,0.156,0.112,0.041,2276,23.1,21.4,16.1,1902,0.042,0.031,0.0106,441,23.0,27.4,18.2,352
Protium,panamense,Burseraceae,0.447,0.079495,19.2,64.7,0.113,0.086,0.030,11126,13.9,12.2,10.6,8972,0.034,0.026,0.0071,197,32.5,27.2,21.5,163
Protium,tenuifolium,Burseraceae,0.586,0.098637,20.5,59.9,0.127,0.099,0.037,9236,20.6,17.5,12.9,7506,0.043,0.034,0.0126,1604,13.7,10.6,8.2,1263
