taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2482791	Empidonax minimus (W.M.Baird & S.F.Baird, 1843)	2482791	Empidonax minimus (W.M.Baird & S.F.Baird, 1843)	2	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Empidonax	2482766	Empidonax minimus	2482791	LC
9752617	Ardea alba Linnaeus, 1758	9752617	Ardea alba Linnaeus, 1758	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Ardeidae	3685	Ardea	2480922	Ardea alba	9752617	LC
5228513	Archilochus alexandri (Bourcier & Mulsant, 1846)	5228513	Archilochus alexandri (Bourcier & Mulsant, 1846)	3	SPECIES		Animalia	1	Chordata	44	Aves	212	Apodiformes	1448	Trochilidae	5289	Archilochus	2476402	Archilochus alexandri	5228513	LC
5844900	Aphelocoma woodhouseii (S.F.Baird, 1858)	5844900	Aphelocoma woodhouseii (S.F.Baird, 1858)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Corvidae	5235	Aphelocoma	2482394	Aphelocoma woodhouseii	5844900	
6176468	Chordeiles minor sennetti Coues, 1888	6176468	Chordeiles minor sennetti Coues, 1888	3	SUBSPECIES		Animalia	1	Chordata	44	Aves	212	Caprimulgiformes	8510645	Caprimulgidae	5225	Chordeiles	2497027	Chordeiles minor	2497035	
2482800	Empidonax hammondii (Xantus de Vesey, 1858)	2482800	Empidonax hammondii (Xantus de Vesey, 1858)	2	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Empidonax	2482766	Empidonax hammondii	2482800	LC
5229743	Contopus cooperi (Nuttall, 1831)	5229743	Contopus cooperi (Nuttall, 1831)	2	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Contopus	2483729	Contopus cooperi	5229743	
7192361	Poecile gambeli gambeli (Ridgway, 1886)	7192361	Poecile gambeli gambeli (Ridgway, 1886)	2	SUBSPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Paridae	9327	Poecile	2487782	Poecile gambeli	2487825	
5229247	Sterna forsteri Nuttall, 1834	5229247	Sterna forsteri Nuttall, 1834	5	SPECIES		Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Sterna	2481227	Sterna forsteri	5229247	LC
2497522	Strix nebulosa J.R.Forster, 1772	2497522	Strix nebulosa J.R.Forster, 1772	5	SPECIES		Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Strix	2497486	Strix nebulosa	2497522	LC
2481957	Gavia adamsii (G.R.Gray, 1859)	2481957	Gavia adamsii (G.R.Gray, 1859)	2	SPECIES		Animalia	1	Chordata	44	Aves	212	Gaviiformes	7192754	Gaviidae	9312	Gavia	2481954	Gavia adamsii	2481957	NT
5231688	Toxostoma curvirostre (Swainson, 1827)	5231688	Toxostoma curvirostre (Swainson, 1827)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Mimidae	9321	Toxostoma	2494943	Toxostoma curvirostre	5231688	LC
2478142	Melanerpes lewis (G.R.Gray, 1849)	2478142	Melanerpes lewis (G.R.Gray, 1849)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Melanerpes	2478067	Melanerpes lewis	2478142	LC
2491872	Passerella iliaca (Merrem, 1786)	2491872	Passerella iliaca (Merrem, 1786)	2	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Passerellidae	9410667	Passerella	2491871	Passerella iliaca	2491872	LC
9568884	Tyto furcata (Temminck, 1827)	9568884	Tyto furcata (Temminck, 1827)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Tytonidae	5292	Tyto	2497905	Tyto furcata	9568884	
2490826	Catharus minimus (Lafresnaye, 1848)	2490826	Catharus minimus (Lafresnaye, 1848)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Turdidae	5290	Catharus	2490799	Catharus minimus	2490826	LC
2487596	Polioptila caerulea (Linnaeus, 1766)	2487596	Polioptila caerulea (Linnaeus, 1766)	2	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Polioptilidae	5789066	Polioptila	2487581	Polioptila caerulea	2487596	LC
2481705	Bartramia longicauda (Bechstein, 1812)	2481705	Bartramia longicauda (Bechstein, 1812)	2	SPECIES		Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Bartramia	2481704	Bartramia longicauda	2481705	LC
5229935	Icterus spurius (Linnaeus, 1766)	5229935	Icterus spurius (Linnaeus, 1766)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Icteridae	6176	Icterus	2484282	Icterus spurius	5229935	LC
2477108	Aeronautes saxatalis (Woodhouse, 1853)	2477108	Aeronautes saxatalis (Woodhouse, 1853)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Apodiformes	1448	Apodidae	2993	Aeronautes	2477107	Aeronautes saxatalis	2477108	LC
8314699	Leiothlypis virginiae (S.F.Baird, 1860)	8314699	Leiothlypis virginiae (S.F.Baird, 1860)	2	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Leiothlypis	7467942	Leiothlypis virginiae	8314699	LC
5231430	Catherpes mexicanus (Swainson, 1829)	5231430	Catherpes mexicanus (Swainson, 1829)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Troglodytidae	9355	Catherpes	2493789	Catherpes mexicanus	5231430	LC
9316	Laridae	9316	Laridae	1	FAMILY		Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316					
2478602	Sphyrapicus thyroideus (Cassin, 1852)	2478602	Sphyrapicus thyroideus (Cassin, 1852)	7	SPECIES		Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Sphyrapicus	2478596	Sphyrapicus thyroideus	2478602	LC
2481770	Calidris bairdii (Coues, 1861)	2481770	Calidris bairdii (Coues, 1861)	8	SPECIES		Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Calidris	2481739	Calidris bairdii	2481770	LC
7191279	Strix nebulosa nebulosa J.R.Forster, 1772	7191279	Strix nebulosa nebulosa J.R.Forster, 1772	2	SUBSPECIES		Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Strix	2497486	Strix nebulosa	2497522	
2497240	Athene cunicularia (Molina, 1782)	2497240	Athene cunicularia (Molina, 1782)	4	SPECIES		Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Athene	2497239	Athene cunicularia	2497240	LC
5227760	Meleagris gallopavo merriami Nelson, 1900	5227760	Meleagris gallopavo merriami Nelson, 1900	2	SUBSPECIES		Animalia	1	Chordata	44	Aves	212	Galliformes	723	Phasianidae	9331	Meleagris	2473548	Meleagris gallopavo	9606290	
2491123	Ammodramus savannarum (J.F.Gmelin, 1789)	2491123	Ammodramus savannarum (J.F.Gmelin, 1789)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Passerellidae	9410667	Ammodramus	2491079	Ammodramus savannarum	2491123	LC
2492101	Spizella pallida (Swainson, 1832)	2492101	Spizella pallida (Swainson, 1832)	4	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Passerellidae	9410667	Spizella	2492093	Spizella pallida	2492101	LC
6178406	Anas crecca carolinensis J.F.Gmelin, 1789	2498125	Anas carolinensis J.F.Gmelin, 1789	1	SUBSPECIES		Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Anas	2498056	Anas carolinensis	2498125	
2481221	Xema sabini (Sabine, 1819)	2481221	Xema sabini (Sabine, 1819)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Xema	2481220	Xema sabini	2481221	LC
2482059	Podiceps auritus (Linnaeus, 1758)	2482059	Podiceps auritus (Linnaeus, 1758)	2	SPECIES		Animalia	1	Chordata	44	Aves	212	Podicipediformes	7191588	Podicipedidae	9338	Podiceps	2482049	Podiceps auritus	2482059	VU
6177984	Falco columbarius richardsonii Ridgway, 1871	6177984	Falco columbarius richardsonii Ridgway, 1871	1	SUBSPECIES		Animalia	1	Chordata	44	Aves	212	Falconiformes	7191407	Falconidae	5240	Falco	2480996	Falco columbarius	9813242	
2490810	Catharus guttatus (Pallas, 1811)	2490810	Catharus guttatus (Pallas, 1811)	9	SPECIES		Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Turdidae	5290	Catharus	2490799	Catharus guttatus	2490810	LC
2481784	Numenius phaeopus (Linnaeus, 1758)	2481784	Numenius phaeopus (Linnaeus, 1758)	1	SPECIES		Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Numenius	2481781	Numenius phaeopus	2481784	LC
2481742	Calidris mauri (Cabanis, 1857)	2481742	Calidris mauri (Cabanis, 1857)	2	SPECIES		Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Calidris	2481739	Calidris mauri	2481742	LC
